1.0.21.S3,Luka,I carved some company. Ibex. Squirrel.,,ESSpatial
1.0.21.S4,Luka,They don't argue. Names missing though.,,ESSpatial
1.0.21.S5,Anton,Huh. When I was younger we nursed a squirrel back.,,ESRadio
1.0.21.S6,Anton,Think we named it Niri?,,ESRadio
1.0.22.A.S1,Luka,You did not.,,ESSpatial
1.0.22.A.S2,Anton,"How would you know! Alright, Francesca did.",,ESRadio
1.0.22.A.S3,Anton,I get to take the credit.,,ESRadio
1.0.22.A.S4,Luka,Let's ask her now.,,ESSpatial
1.0.22.B.S1,Luka,"Niri it is, then.",,ESSpatial
1.0.22.B.S2,Anton,What about Francesca?,,ESRadio
1.0.22.B.S3,Luka,Are squirrels italians?,,ESSpatial
1.0.22.B.S4,Anton,No [chuckles] that's my wife's name.,,ESRadio
1.0.22.B.S5,Luka,"Maybe I could mail the squirrel to her, good plan!",,ESSpatial
1.0.24.S1,Anton,Eh. I shouldn't have started that. She...,,ESRadio
1.0.24.S2,Anton,she passed last June.,,ESRadio
1.0.24.S3,Luka,I see. Then Niri becomes Francesca.,,ESSpatial
1.0.24.S4,Anton,We live. Snow comes. Fire needs feed.,,ESRadio
1.0.25.S1,Anton,Have you checked the lower frequencies recently?,,ESRadio
1.0.25.S2,Anton,That strange static around <Hint>240 KHz</>?,,ESRadio
1.0.25.S3,Luka,Not really.,,ESSpatial
1.0.25.S4,Anton,Why not?,,ESRadio
1.0.25.S5,Luka,I changed the radio.,,ESSpatial
1.0.25.S6,Anton,Changed how.,,ESRadio
1.0.25.S7,Luka,I added a spectrogram.,,ESSpatial
1.0.25.S8,Anton,A what?,,ESRadio
1.0.25.S9,Luka,It shows active frequencies. On the CRT.,,ESSpatial
1.0.25.S10,Anton,Bože sačuvaj. You build magic televisions in the woods now?,,ESRadio
1.0.25.S11,Luka,It was spare parts.,,ESSpatial
1.0.25.S12,Anton,"And why does that kill the antenna, majstore?",,ESRadio
1.0.25.S13,Luka,I'm not sure.,,ESSpatial
1.0.25.S14,Anton,Did you unplug something.,,ESRadio
1.0.25.S15,Luka,...,,ESSpatial
1.0.25.S16,Anton,"Bogami. Luka. You make pictures out of air,",,ESRadio
1.0.25.S17,Anton,"but forget a cable, konju. [belly laugh]",,ESRadio
1.0.25.S18,Luka,<Hint>I should have another cable</>. Give me a minute.,,ESSpatial
1.0.25.S19,Anton,[still laughing] Take your time majstore.,,ESRadio
1.0.25.S20,Anton,"Tell me if you need help with the plugging,",,ESRadio
1.0.25.S21,Anton,or sitting in your chair!,,ESRadio
1.1.0.S1,Person 1,"-phyr, ready?",,
1.1.0.S2,Unknown,Ready.,,
1.1.0.S3,Person 1,"Sentinel, ready?",,
1.1.0.S4,Unknown,Ready.,,
1.1.0.S5,Person 1,"Nova, ready?",,
1.1.0.S6,Unknown,Ready.,,
1.1.0.S7,Person 1,"Perfect, we are go for Arcturus. Beginning at 15%.",,
1.1.0.S8,Person 1,3.... 2.... 1....,,
